"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47"
"Berardius_arnuxii",-0.107376001992203,-0.0348334247453666,0.0149484613661061,-0.000955063670212301,0.00909611427655716,-0.0246717557098034,0.0311959096641731,-0.0118270663521015,0.00126586022140577,-0.0163857951916776,0.0101471934850747,-0.0141512359290235,0.0228696599844982,-0.011419775555548,0.0201437137948613,-0.00351697571035205,-0.00485415584372806,0.00892763773053867,0.00858050854681028,-0.00347395353111843,-0.0118782348368981,0.0125026655101453,0.00696632724592999,0.0105553251391573,0.00088533681527221,-0.00436567606875656,-0.0140932903064306,-0.0164282222735339,-0.0160515477348113,0.0088048446235223,0.00359169852911269,0.000473021221378825,0.0116590571608494,0.00415202832091889,0.00932031350843505,-0.00355997835981607,-0.0124854333870886,-0.0108366966059969,0.00336199516212658,0.00657568648876576,0.00202333510407666,0.0068483291014362,-0.00144404477691623,-0.000535019349653464,-0.00574309463358474,3.01940856519865e-05,0.00331453200293387
"Cephalorhynchus_commersonii",0.0357843482847408,-0.018204720254046,0.00388506742579,-0.0198955602671466,0.0165831446158097,-0.0113058708374565,-0.016413231122053,-0.0190396311154769,-0.0158586019422321,0.0136343038833019,-0.00947939760405471,0.00374092148768791,0.0127187059171949,0.0157656153148101,0.008502678934301,0.00628340117851124,-0.0121064193177974,-0.0271470412426058,-0.0105088744335251,-0.0100127510851128,3.16533267810318e-05,-0.000463410423007792,-0.0158258986138322,-0.0054372995086045,-0.00328391960506252,0.00277165783582648,0.000657644477193721,0.00562217332592236,-0.0149294190079334,-0.00508150600145077,-0.00370548061268142,0.000580304447964543,0.00894265416682995,-3.80176373210089e-05,0.0136987377358839,0.00922612204328043,0.00544064689785902,0.0130425271479502,0.00841381066223033,-0.00340702048254614,0.0120516723181568,0.00218245736975523,-0.00699417367183116,0.00936920909419351,-0.00959824137345283,0.00119487646095647,-0.001280411595313
"Cephalorhynchus_heavisidii",0.00862294664966269,-0.0168037322274878,0.0139629063524701,-0.0180528485733539,0.0173593332146766,-0.0258649729034937,0.00301055435646148,-0.00908056222628968,-0.0269059556020207,0.0098183475253392,0.0016401144727885,0.00281899164383625,-0.0236926832163264,0.0113537604676562,-0.00399902997272542,-0.00153974673775829,-0.0113773641285557,-0.00350486246586384,0.00649915679375661,-0.0176326705651701,-0.00521919659753667,-0.00991363422032721,-1.02474393537479e-05,-0.000566747993194626,-0.00449309975605053,0.0194911815662998,0.00553487523098623,-0.00215300359253859,0.0050563560719213,-0.000696820896018267,0.00286698126299859,0.00387492711263486,0.00820725060608144,0.0036920807282395,0.00244529805465305,0.0173369187016236,-0.0017140683131591,-0.00752618492947891,-0.0146327313439275,0.00384939111347097,-0.0120606099259612,0.00106128285631871,-0.00400270709551934,-0.0065079474899504,-0.000334867556296238,0.0131712734766279,0.000999190057994009
"Delphinapterus_leucas",0.00153590576547864,0.0736844915583583,-0.0647231898805189,-0.00994057466768847,0.0297948937690545,0.00406317328288837,0.00287273158093495,0.0109775471189496,0.0268846284598485,-0.000688077808061571,-0.0053219913024622,-0.0415672469429186,-0.0186672663895242,0.00159852766966206,0.0170736058892362,0.0178071901769889,0.00176119978530802,0.0161500170410909,-0.00438152659990425,-0.0158286788990666,-0.000745910012955615,-0.0201049266293881,0.00649421249048745,-0.00598590530095155,0.020881924015741,0.000755313162194877,-0.0110692707282102,0.0178110392531947,-0.00653197313996125,0.00265295908259625,0.00404940724188479,0.00675730331190121,-0.00217365647044098,0.00238383414884114,-0.0014728378627588,0.00964489401217958,-0.00769679202549394,-0.00431083716325442,0.00660885829711308,-0.000955097119744573,0.00211799135597437,-0.0051524052108879,-0.00112152919806021,0.000615637287494156,0.000130493559938847,-0.00144063227653121,0.000331692236656267
"Delphinus_delphis",0.0182921531310572,-0.005034460260654,-0.00504479909782544,-0.0314022544496688,0.0192206382914474,0.0174480605956955,-0.00938680840425175,-0.0041479998036154,0.0181762285876037,-0.00227461316952186,0.012186305510059,0.002737220318079,0.032529773338935,0.00791263161414957,0.0312510052392812,0.0125936737341596,0.00819833560946643,0.00450079005713416,-0.0166308837235878,0.00952963918763343,0.018178659352583,0.0110750855521369,-0.00528725103236287,0.00123335571403937,-0.00542507958752296,0.00711321081111186,0.0108521066659263,-0.00777947291337672,0.0131842436285319,0.00625550064310526,0.0284178175678123,-0.00145863632652423,-0.000639521081572546,-0.00514483267011471,-0.00860018453029294,0.00732938749575173,-0.0109638391933423,0.00540745380066876,-0.00682638508672178,-0.00103675339272716,0.00166700831572062,-0.00256943127744573,-0.00165960662726769,-0.00112678710408462,-0.00274158524919407,-0.00149097224165319,-0.00240872863289036
"Feresa_attenuata",-0.0541337915628058,0.0132726275343124,-0.00048241429640682,-0.00543689984688107,0.0118543237395177,-0.029772010321172,-0.00760734596240475,-0.00560668058207578,0.00242006779681904,-0.00680696461519188,0.00555781195836323,-0.0172296603036589,0.0195802675953901,0.000280814987915227,-0.0184072832134166,0.0245742998668506,-0.000824292228933734,-0.00385430336336694,0.00344037769040696,-0.00898995014066502,0.0139655232500686,0.00740706894013251,0.00397613125144041,-0.0126992937875397,0.0131345338060612,-0.00605608481561284,0.0203443992665283,0.00952803809890532,0.00694249412601635,-0.0229745423314542,0.00474765736536017,-0.00779238471479016,-0.0020870448639568,-0.00572665599115234,0.00879445897609232,-0.00608820219036201,0.00677961310942108,-0.0129623001367354,-0.00328317441265699,0.00402057447701394,-0.00086705716615267,0.0118421234978021,0.00278570504318088,-0.000680892184844336,-0.00206418572581029,-0.0029280353689816,-0.00139057081604967
"Globicephala_melas",0.024020236787273,0.0503667069973211,0.10875862952789,0.106963388915157,0.0841541203062664,0.0543165665775652,0.00495927591210785,-0.0173767238518908,-0.00504815697569503,0.00319723854461906,0.012145466045317,0.00654519786321522,-0.0067287406887292,-0.0152151578166327,0.00206182782489302,0.0194017610182402,-0.00855048702263089,0.000170022094716034,0.00160003082889723,-0.000803225482611586,-0.00254147153427142,0.000516726679348165,-0.00407903149392287,0.00122635312184748,0.00331258271230792,-0.00232352290915459,0.00150870366684526,-0.000185182276141211,0.00112731621936406,0.000526576120514297,-0.00103888671577558,0.000721755922090643,-0.000653792758188835,0.00119913843649722,-0.000818784257106541,0.000704863975566825,-0.00151814821709835,0.000300289757842878,0.000139493113541488,-0.000392039369789599,0.00127372293577168,-4.24802556575152e-05,-0.000341004110533126,-0.000428774675903931,0.000260117283726164,0.000176504031127829,-0.000142277203737515
"Grampus_griseus",0.0116259611744984,0.0500735938611243,0.0115595059851124,0.0274132561685701,-0.0426804474607169,-0.0057225695468463,0.0338418420849299,0.0155735377117775,0.0036630214469593,-0.00992014779420191,0.00196381424569722,-0.00676575488980995,0.00459454888784014,0.00456481495520772,0.0051700692278712,-0.000810866602420127,0.0299484752349265,0.0104656855282685,-0.00591718111778324,0.000843213471516937,-0.00403164881299525,-0.002418083973981,-0.00619991642197594,-0.00185466104158017,-0.0104486242971191,-0.0167680638661976,-0.0010423228270607,0.00795467944463225,0.000684671917604948,0.00208604871682677,-0.00735626015663048,-0.00148026400695278,0.0204705303083596,-0.0114443962545745,-0.0043103202546239,0.00954528466857826,0.0078316364477759,-8.32471467544608e-06,-0.0176619671433279,0.00211520149916397,0.00719036014142687,0.00120201484742947,0.00208139027427079,0.00644843808854602,0.000906244166110925,0.000435315548474522,0.00540782086480621
"Hyperoodon_ampullatus",-0.0775166094085471,0.00110754714544389,-0.00845689153958602,0.0477519984101127,-0.057444308261704,0.0206556316562789,0.026674818387656,0.000914303346699155,-0.0104438956126952,0.00387231656708558,-0.0258744587351336,-0.0132930968652321,0.00651228070755095,-0.00192672102554533,-0.0149171747855666,0.00911523368102839,-0.0220322601701108,0.0140869481177376,0.00359627958211463,0.0226592200676068,0.00446936748130548,-0.0125400640495752,0.0016851372652692,-0.0103016893839186,-0.0160997630623048,0.0118107679448891,0.00507696894326607,0.00146585829111138,-0.0176907049885317,0.000377904116988405,0.0110795517917895,-0.0104412805985887,-0.00755766038532766,-0.0066362317090045,0.00292866132673621,0.0078445804966978,0.000925017499344887,0.0052619038551647,0.00363714279380605,0.00793272343836495,-0.00538433613040379,-0.00399291523581698,0.00202998861651139,0.0018971429150159,-0.000661600505174013,-0.000127416189008049,-0.00282495611859807
"Inia_geoffrensis",-0.0277503817817069,0.061885226204838,-0.0283712649195646,-0.00298885465701884,0.0129006166496184,-0.0450476457356995,-0.00410748993240918,0.0101873626083973,-0.00879737094008841,0.0066245707154814,-0.0113078019735131,0.0221559870224245,-0.020516206431911,0.0153000409800349,-0.0216595808323151,0.0278525370805496,-0.019883326446361,0.00537396411227525,-0.00521637645989941,-0.0128481165816757,-0.0105790045480157,0.0168802342941289,-8.11986251371642e-05,0.0101284800345783,-0.00102730108871663,-0.0135177283915883,-0.00527529853316019,0.00175709528602911,0.00065752096258647,0.0117973603342427,0.0102792909135191,-0.0090539756264555,0.00340219909351142,0.00436384757041063,-0.0018147826447125,-0.0146143089885379,-0.0031286523967299,0.0117351872293386,-0.00682849028004413,-2.09131189405871e-05,-0.00488973200879548,-0.00436750093431075,0.00377091316161792,0.00533358083733757,-0.00138101716533447,0.00138582015192625,-0.0026740525740589
