Taxon,Habitat 
Physeter_macrocephalus,marine
Kogia_breviceps,marine
Kogia_sima,marine
Berardius_arnuxii,marine
Hyperoodon_ampullatus,marine
Mesoplodon_bidens,marine
Mesoplodon_grayi,marine
Mesoplodon_hectori,marine
Mesoplodon_mirus,marine
Tasmacetus_shepherdi,marine
Ziphius_cavirostris,marine
Cephalorhynchus_commersonii,marine
Cephalorhynchus_heavisidii,marine
Delphinus_delphis,marine
Feresa_attenuata,marine
Globicephala_melas,marine
Grampus_griseus,marine
Lagenodelphis_hosei,marine
Lagenorhynchus_acutus,marine
Lagenorhynchus_albirostris,marine
Lagenorhynchus_australis,marine
Lagenorhynchus_cruciger,marine
Lagenorhynchus_obliquidens,marine
Lagenorhynchus_obscurus,marine
Orcaella_brevirostris,marine
Orcinus_orca,marine
Peponocephala_electra,marine
Pseudorca_crassidens,marine
Sotalia_fluviatilis,marine
Sotalia_guianensis,marine
Sousa_chinensis,marine
Stenella_attenuata,marine
Stenella_coeruleoalba,marine
Stenella_longirostris,marine
Steno_bredanensis,marine
Tursiops_aduncus,marine
Tursiops_truncatus,marine
Delphinapterus_leucas,marine
Monodon_monoceros,marine
Lipotes_vexillifer,river
Platanista_gangetica,river
Inia_geoffrensis,river
Pontoporia_blainvillei,river
Neophocaena_phocaenoides,marine
Phocoena_dioptrica,marine
Phocoena_phocoena,marine
Phocoena_spinipinnis,marine
Phocoenoides_dalli,marine
Balaenoptera_physalus,marine
Eubalaena_australis,marine
