"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47"
"Berardius_arnuxii",-0.14379900097512,0.0292548306555271,0.0135285525079689,0.010252010796316,-0.00881418623163504,0.0450239126441218,-0.0144654675042246,0.010931631055361,-0.0342413369122586,0.00680271002075205,-0.0139658506978189,0.0177001014334229,-0.0291887004773557,0.012053538053493,-0.00218984099352769,0.011821535538925,0.0062585860520367,-0.00351114840290675,-0.0163848134449226,0.00867658839794667,0.0309649727708173,0.00142279580382151,-0.0212888407106012,-0.00529628770641962,0.0135358578382554,0.00396832342038048,0.0174205866582504,0.00248089979543598,-0.0102849865068169,-0.0128007453688088,-0.00159592727777213,-0.00255116290680582,-0.0207436646678074,0.0113734035260891,0.00711122373058365,0.0109759589618808,0.0033791619578675,0.00531595656605388,-0.00852565785928647,-0.000437169364206445,-0.0103009374342898,-0.00588427633347672,-0.00554211148915141,0.0121250679749494,0.00282886688654407,0.000781667645300072,-0.0068197398213295
"Cephalorhynchus_commersonii",0.0325977104432624,0.0192350304425417,0.000924405932135689,0.00565348098335917,-0.0359164769576448,-0.0285974758811442,-0.0149956231823793,-0.0501173854012652,0.00906790244639417,-0.00411147790134142,-0.00226357605326519,0.030496549712419,-0.00232489199882187,0.0222972626608235,0.0173595250813845,-0.032596774272203,0.0175598412370632,0.012321916978231,-0.00169502564192718,0.00239202600649855,-0.00821125047118234,0.0182412220453945,-0.00469875701824701,-0.0182592272879716,-0.0117582842782954,-0.0183668624841192,-0.00353817507103692,-0.0012475126961614,-0.010983445416392,-0.0106688080484624,-0.00678401898114139,-0.0130778277806597,0.00373731617411226,-0.0162802543167485,-0.0169022134523481,-0.0058912444882459,0.00354466601225832,0.00960981414568588,-0.00121000810045911,0.0117597570732625,-0.00748534343638614,-0.0119037668515982,-0.00911631248931153,0.00537640965670061,-0.0085035048962432,-0.00612869620424473,0.00210397231803383
"Cephalorhynchus_heavisidii",0.00193383724755415,0.0179157641746299,0.0172203190548031,-0.00252929156672337,-0.0449298683091588,-0.00727604508558766,0.00341557192074412,-0.0393864977240988,-0.0333014027129413,0.0158932802266381,0.0158404064420428,-0.00503877739952447,0.0193766797385716,-0.019951517332361,0.0107773417292718,-0.00224892118440066,0.0176800826746023,-0.0152656762469095,-0.017975233622332,0.0153670323248241,-0.00243167077448181,0.0103805323322606,-0.00214848349148384,0.012819976235889,0.000500872975508202,-0.00422571674208636,-0.00196559602773932,-0.0140529328625759,-0.014082086269701,0.00623408102338368,0.0242387500645127,0.00696657295821957,-0.00467705357007057,-0.0143032220962111,-0.00878969523783255,0.00833063532659662,0.00467541371808041,0.000162459003722674,0.00277932183089212,-0.0218963225449461,-0.000223179350011101,-0.0055879546972722,0.00742060724838334,0.00348028073877654,0.00915009614987478,0.00603792712605528,0.0112541822244603
"Delphinapterus_leucas",0.0188306219487903,0.0131820652749832,-0.0890736011254691,0.0592102979007885,0.00400608977238718,0.00194446188183672,-0.0146610923928405,0.0209921082461992,-0.00139217693504192,0.0101825724416344,-0.0273975970393717,-0.037145352629391,0.00543365828537131,-0.00435668178733578,-0.0343660386940319,0.00494854019299202,0.00399336315175081,-0.03698324556565,-0.00614243214088222,0.0101288113385212,-0.00360947436901354,-0.0199170147852726,-0.00152013364314113,-0.0200026645781367,0.0203346301147798,-0.00238276497337032,-0.0104901879342087,-0.00309154730196729,-0.0190295100099024,-0.0100839982799216,0.00991018391952298,0.00605292508312813,0.0232623112938724,0.00629469113296895,-0.00844633857239304,0.00959303252418608,0.01289188956935,-0.000577671911927447,-0.0020007656464395,0.00840290104121164,-0.000515843337955313,0.000628644181143263,-7.57617623646573e-06,-0.00235110952537857,-0.00551661822513065,-0.00391417374939443,0.00126486862025898
"Delphinus_delphis",0.0133712973770412,-0.0034597496435997,-0.032166544014937,0.0288218949605101,-0.039184904438482,0.00189899655829731,-0.0209156350042821,0.0138830542855886,0.0214425388259665,0.0148825453419923,-6.44980399380199e-05,0.0428798087220089,0.000801400911490788,0.0548739981447292,-0.0120088503679587,-0.00277093798003173,-0.0158613092681708,0.00718509755742477,0.0105970778342443,-0.0272616856956812,0.0070463489669641,-0.000379078664588255,-0.00889808728961507,0.0262014144669531,0.0149216357647429,0.0217135600219815,-0.0049718831311605,-0.0295277596729029,-0.000862382308804554,0.017591961038661,0.0133919335351268,-0.00728456158315201,0.00192810407208881,-0.000146499537550021,-0.00113076687985809,-0.00345512532418874,0.00751211123931516,0.0122843411885716,0.00492141849974963,0.00483691711020508,-0.00202694896428067,0.00418867934259076,0.0049521156448079,-0.00017373493197872,-0.00296152394337427,0.00401121057711225,-0.00076687511770155
"Feresa_attenuata",-0.0578531740683789,-0.00610178695334982,-0.0169854413842986,0.0153500936269073,-0.0104935011877848,-0.0171825008356207,-0.0191484866470207,-0.0138467351240715,-0.00495186459870109,0.00139744364928855,-0.011271826984671,0.0224924700604182,-0.0355613919760581,-0.0149911145460336,-0.0378802300226568,-0.0117208874258378,-0.00992070983097644,-0.013057768067998,-0.00884563775601627,-0.013886993645794,-0.0163223138133806,0.0242770259906069,0.0103031793335523,-0.0045940240258428,0.0135120584743933,0.0107227156518449,-0.0312287816831296,0.0202286866516523,-0.0153518526704579,0.0199723736026436,-0.00554220407161928,-0.000395224179728461,-0.0105620285125608,-0.00762290469218858,0.0110827211709886,-0.00529746395806284,-0.00939752609977348,-0.00870168478573889,-0.00420418551746565,-0.00276612967518756,0.0116627607218934,-0.00709386314939556,-0.00362860888194339,0.00161158950530455,-0.00237062950958173,0.00266318199224797,-0.00160441452570217
"Globicephala_melas",0.039972224425542,-0.0979281784459743,0.180679315456356,0.173822525649898,0.0820385204681444,0.00992615831359055,0.00855828693769906,-0.0102163035416041,0.0122465169694005,0.00153267314593457,0.0323781295920505,-0.00557388126902613,0.00550697893906807,0.0136207489145532,-0.020275915488556,-0.00247239757270106,0.00886874038356508,0.000867892017713534,-0.00882119740833478,0.00751695959142002,0.00537949115263726,0.00311592502524889,0.00273895912898405,-0.000508999295979689,-0.00132784630795898,-0.00134343075520839,-0.000797526341986245,-0.000945671994767591,-0.0013735273062338,0.00246223133529939,-0.00139134619631275,0.0017062333366544,0.000800899014377549,0.00220862355627965,0.000324142688443663,-0.00123611888092012,0.000570549206098651,0.000125540817044122,-5.27615331601116e-05,0.000843192795533309,-0.000810119087671015,4.6563833383199e-05,0.000584961450509137,8.41255678535953e-05,-0.00015633593277019,3.77909530705062e-05,-0.000279545912656028
"Grampus_griseus",0.0265069817947596,-0.0479320823508649,0.0105610891920085,-0.0363541001840392,0.0468796592724832,0.0462821497093211,0.0193866536472502,0.0406241028753319,-0.0272826057850506,-0.000216746648531915,-0.0109505257548141,0.00914210143752672,-0.0028273092001443,-0.00715445284175744,-0.00373931674471527,-0.000650791638653725,-0.0271974515917151,-0.0162875101505244,0.0216211432280041,-0.00684642778682819,0.0109660563387039,0.0167107210087142,0.0139256035843202,-0.0184255805336648,-0.00964268787510978,-0.0165272325600509,0.00588702223069339,-0.00394776127139456,0.00356059645606849,-0.0066416094993636,0.0232651442954728,-0.00214965536477981,-0.00632912469402666,-0.00923210930337445,0.0147231790807838,-0.00286317688050858,0.0051745148978261,0.0180868761371391,0.00465524911729089,0.00756214970090552,0.0115401918554441,-0.0114447521720623,-0.000343108833811914,-0.00680111956828542,0.00453301898605395,-0.00297630752062421,0.00267651107559764
"Hyperoodon_ampullatus",-0.0894838734959341,-0.0161613948434042,0.0193909936853251,-0.059401316164665,0.0844803481288733,0.0197543354025925,0.0345706009709791,-0.0262877430793228,0.00876130566961965,-0.0385407906167622,-0.00834883711029793,-0.00743971165931167,-0.0173196256915555,-0.0140574913562597,-0.0190095066304793,0.018952617880352,0.0217479820880215,0.0300207114199126,0.0198419390663315,-0.000149437779963785,-0.0134456732362973,-0.00287464223694276,-0.0280913310924401,-8.60430411641672e-05,0.0135898008811229,-0.00701624047847163,-0.0156083517675308,-0.0110293384740332,0.00369659388945752,-0.00172544559825483,0.0121986573548366,-0.0236303847381314,0.0109037770557029,-0.0090290871311106,0.00550706617739323,0.00769721840348835,0.00186210432229901,-0.00693261376644706,0.00288328464278564,-0.00440096661288807,-0.00224720204385922,0.00574254942723934,-0.00542310116779104,-0.000998340459689368,-0.000136451180923031,0.000163772127890735,0.000840601308728012
"Inia_geoffrensis",0.00206149230219798,-0.018443297845433,-0.0589939714463929,0.0165803886761448,0.000307378354535619,-0.0297769590763366,0.00418768068885617,-0.00498483837099211,-0.0363013750807127,-0.0338543165272343,0.0400610671642926,0.0150736640067751,0.0164915287593207,-0.0403824567110546,0.000307490214752611,-0.005030263092693,0.0426475902920202,-0.0126003679061528,-0.0138886097326381,-0.0158103302427994,0.0258589077168595,-0.000798409306843232,-0.000191830044961011,-0.00108835633933219,0.0120344642199781,0.0124989300420971,-0.00511393077032284,0.00399907754525858,0.0125221439844989,-0.00435331828758074,-0.00857231990687869,0.00275612259638407,-0.00633316480845388,0.000349540788573598,0.00541531320228421,-0.0156453139234556,0.00812101311922508,0.0114085706178644,0.0147289615559107,-1.84213656724242e-05,-0.00378275283916689,0.0097159711683525,-0.00987000558080356,-0.00782940962552944,-0.000661506601949276,-0.00217428103078756,0.00188892538656663
