species,Focal/Nonfocal
Berardius_arnuxii,0
Cephalorhynchus_commersonii,0
Cephalorhynchus_heavisidii,0
Delphinapterus_leucas,1
Delphinus_delphis,1
Feresa_attenuata,1
Globicephala_melas,0
Grampus_griseus,1
Hyperoodon_ampullatus,0
Inia_geoffrensis,1
Kogia_breviceps,0
Kogia_sima,0
Lagenodelphis_hosei,1
Lagenorhynchus_acutus,1
Lagenorhynchus_albirostris,1
Lagenorhynchus_australis,1
Lagenorhynchus_cruciger,1
Lagenorhynchus_obliquidens,0
Lagenorhynchus_obscurus,1
Lipotes_vexillifer,1
Mesoplodon_bidens,0
Mesoplodon_grayi,0
Mesoplodon_hectori,0
Mesoplodon_mirus,0
Monodon_monoceros,1
Neophocaena_phocaenoides,1
Orcaella_brevirostris,1
Orcinus_orca,1
Peponocephala_electra,1
Phocoena_dioptrica,1
Phocoena_phocoena,1
Phocoena_spinipinnis,0
Phocoenoides_dalli,1
Physeter_macrocephalus,0
Platanista_gangetica,1
Pontoporia_blainvillei,1
Pseudorca_crassidens,1
Sotalia_fluviatilis,1
Sotalia_guianensis,1
Sousa_chinensis,1
Stenella_attenuata,1
Stenella_coeruleoalba,1
Stenella_longirostris,1
Steno_bredanensis,1
Tasmacetus_shepherdi,0
Tursiops_aduncus,1
Tursiops_truncatus,1
Ziphius_cavirostris,0
